,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NDIT,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.DIT,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NDIT,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.SFL.NAME,INS.SFN.NAME,SEQ.DIL.WL0
23,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
107,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
210,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
216,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
344,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
402,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
471,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
537,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
545,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
911,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
1101,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
1376,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
1396,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
2330,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
2371,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
2373,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
2375,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
2482,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
2607,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
2644,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
2943,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
2944,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
2960,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3018,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3100,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3106,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3119,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3194,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3195,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3276,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3281,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3295,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3303,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3321,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3329,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3337,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3345,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3370,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3378,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3386,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3394,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3429,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3432,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3463,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3473,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3520,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3570,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3604,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3667,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3710,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3770,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3771,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3811,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3822,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3830,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3838,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3860,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3872,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3942,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3949,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3971,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4017,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4018,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4022,0.0,512.0,512.0,0.075,512.0,512.0,1.0,,1.0,5.0,4.8,3.0,0.0,512.0,512.0,,512.0,512.0,20.0,,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4023,0.0,512.0,512.0,0.075,512.0,512.0,1.0,,1.0,5.0,4.8,3.0,0.0,512.0,512.0,,512.0,512.0,20.0,,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4024,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4092,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4121,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4206,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4251,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4264,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4305,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4323,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4343,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4353,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4363,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4373,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4383,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4384,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4394,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4408,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4440,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4493,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4511,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4540,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
