,COU.AG.ALPHA,COU.AG.DELTA,COU.AG.EPOCH,COU.AG.EQUINOX,COU.AG.PMA,COU.AG.PMD,COU.GS.MAG,DEL.REF.NAME,DEL.REF.OPL,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.DIT,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NDIT.SKY,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.STSOFFANG,SEQ.ACQ.DET1.DIT,SEQ.ACQ.DET2.DIT,SEQ.ACQ.SKY.DURATION,SEQ.ACQ.TARG.DURATION,SEQ.DIL.WL0,SEQ.FI.HMAG,SEQ.OPDM.L.WLMAX,SEQ.OPDM.N.WLMAX,SEQ.PUP.DET1.DIT,SEQ.PUP.SKY.DURATION,SEQ.PUP.TARG.DURATION,SEQ.SKY.OFFS.ALPHA,SEQ.SKY.OFFS.DELTA,SEQ.SKY.X,SEQ.SKY.Y,SEQ.TARG.FLUX.L,SEQ.TARG.FLUX.N,SEQ.TARG.MAG.K,TEL.GS1.ALPHA,TEL.GS1.DELTA,TEL.GS1.MAG,TEL.TARG.ADDVELALPHA,TEL.TARG.ADDVELDELTA,TEL.TARG.ALPHA,TEL.TARG.DELTA,TEL.TARG.EQUINOX,TEL.TARG.PMA,TEL.TARG.PMD
2475,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0
2476,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0
2477,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0
2478,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0
2480,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0
2483,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2484,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2485,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2486,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2487,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2489,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2490,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2552,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2553,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2554,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2555,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2556,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2557,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2558,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2559,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
2910,0.0,0.0,2000.0,2000.0,0.0,0.0,2.5,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,20.0,10.0,2.5,0.0,0.0,12.0,0.0,0.0,124139.643,-12657.742,2000.0,-0.61476,0.06134
2911,0.0,0.0,2000.0,2000.0,0.0,0.0,6.4,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,20.0,10.0,1.9,0.0,0.0,12.0,0.0,0.0,124751.41,33421.771,2000.0,-0.00795,-0.00383
2912,0.0,0.0,2000.0,2000.0,0.0,0.0,6.4,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,20.0,10.0,1.9,0.0,0.0,12.0,0.0,0.0,124751.41,33421.771,2000.0,-0.00795,-0.00383
2913,0.0,0.0,2000.0,2000.0,0.0,0.0,6.4,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,20.0,10.0,1.9,0.0,0.0,12.0,0.0,0.0,124751.41,33421.771,2000.0,-0.00795,-0.00383
2919,0.0,0.0,2000.0,2000.0,0.0,0.0,6.4,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,20.0,10.0,1.9,0.0,0.0,12.0,0.0,0.0,124751.41,33421.771,2000.0,-0.00795,-0.00383
2969,0.0,0.0,2000.0,2000.0,0.0,0.0,5.8,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,700.0,130.0,-0.8,0.0,0.0,12.0,0.0,0.0,105601.468,61107.327,2000.0,-0.0239,-0.00642
2970,0.0,0.0,2000.0,2000.0,0.0,0.0,5.8,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,700.0,130.0,-0.8,0.0,0.0,12.0,0.0,0.0,105601.468,61107.327,2000.0,-0.0239,-0.00642
2971,0.0,0.0,2000.0,2000.0,0.0,0.0,5.8,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,700.0,130.0,-0.8,0.0,0.0,12.0,0.0,0.0,105601.468,61107.327,2000.0,-0.0239,-0.00642
2979,0.0,0.0,2000.0,2000.0,0.0,0.0,4.8,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,130.0,20.0,0.8,0.0,0.0,12.0,0.0,0.0,110149.674,-22904.501,2000.0,0.00976,-0.03556
2981,0.0,0.0,2000.0,2000.0,0.0,0.0,4.8,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,130.0,20.0,0.8,0.0,0.0,12.0,0.0,0.0,110149.674,-22904.501,2000.0,0.00976,-0.03556
2988,0.0,0.0,2000.0,2000.0,0.0,0.0,2.8,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,180.0,30.0,0.8,0.0,0.0,12.0,0.0,0.0,130210.597,105732.941,2000.0,-0.2788,-0.01429
3092,0.0,0.0,2000.0,2000.0,0.0,0.0,2.5,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,20.0,10.0,2.5,0.0,0.0,12.0,0.0,0.0,124139.643,-12657.742,2000.0,-0.61476,0.06134
3093,0.0,0.0,2000.0,2000.0,0.0,0.0,2.5,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,20.0,10.0,2.5,0.0,0.0,12.0,0.0,0.0,124139.643,-12657.742,2000.0,-0.61476,0.06134
3098,0.0,0.0,2000.0,2000.0,0.0,0.0,2.5,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,20.0,10.0,2.5,0.0,0.0,12.0,0.0,0.0,124139.643,-12657.742,2000.0,-0.61476,0.06134
3611,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
3612,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
3613,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
3615,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
3673,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
3674,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
3676,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
3677,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
3678,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
4044,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,194137.26,-655115.8,2000.0,0.0152,-0.00717
4045,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,0.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,1.2,0.0,0.0,12.0,0.0,0.0,194137.26,-655115.8,2000.0,0.0152,-0.00717
