,x,y,cluster,type
0,-1.46816,17.361506,0,OK
2,-1.4386224,17.388115,0,OK
4,4.342074,15.462805,-1,OK
5,4.3277597,15.500823,-1,OK
34,3.5062904,16.113651,-1,OK
35,7.318835,-8.01392,-1,OK
36,4.5850863,15.888698,-1,OK
37,4.575469,15.841487,-1,OK
38,4.4971247,15.815172,-1,OK
125,23.122547,-8.080164,1,OK
126,23.10626,-8.05792,1,OK
127,23.146456,-8.086755,1,OK
128,23.126516,-8.07917,1,OK
130,23.136612,-8.083311,1,OK
131,23.152416,-8.105352,1,OK
132,23.13673,-8.045521,1,OK
133,23.109161,-8.037202,1,OK
134,23.12279,-8.070242,1,OK
135,23.123045,-8.0672455,1,OK
136,23.118992,-8.102135,1,OK
137,23.138773,-8.051324,1,OK
138,23.111,-8.053332,1,OK
148,-1.453773,17.369987,0,OK
150,-1.4842302,17.358376,0,OK
152,3.5972772,16.065855,-1,OK
154,2.6802895,15.613767,-1,OK
156,2.635402,15.601201,-1,OK
158,2.6357682,15.598115,-1,OK
160,2.6303668,15.583776,-1,OK
162,2.685882,15.655096,-1,OK
164,4.8846655,15.877925,-1,OK
166,4.900162,15.873888,-1,OK
168,4.8667994,15.873634,-1,OK
170,4.3361287,15.713841,-1,OK
188,-1.4669731,17.362593,0,OK
190,4.2496657,15.874968,-1,OK
192,4.3118515,15.826083,-1,OK
194,4.2642508,15.860586,-1,OK
196,4.3427076,15.8544655,-1,OK
220,-1.4411172,17.388987,0,OK
221,-1.4544755,17.375118,0,OK
223,4.833305,15.871041,-1,OK
225,-2.6286054,-4.748533,-1,OK
227,3.5122304,16.398632,4,OK
282,2.6194797,15.350496,-1,OK
283,2.4504933,15.438397,2,OK
284,2.4259603,15.4170685,2,OK
288,2.468301,15.453307,2,OK
289,7.2773685,-7.97166,3,OK
290,7.3089433,-8.001641,3,OK
295,7.30246,-7.996517,3,OK
296,7.309198,-8.003899,3,OK
297,7.3254595,-8.0196085,3,OK
298,7.3044033,-7.9989266,3,OK
300,3.7564871,15.727953,-1,OK
306,4.1490765,15.91691,-1,OK
311,3.7726893,15.840724,-1,OK
316,4.2072906,15.63077,-1,OK
321,4.8610907,15.853773,-1,OK
326,3.7548063,15.261237,-1,OK
345,2.4657123,15.452467,2,OK
346,7.2822056,-7.9769454,3,OK
349,3.425812,16.335104,4,OK
353,3.4276953,16.374277,4,OK
357,3.4399502,16.28736,4,OK
362,3.4799175,16.345074,4,OK
363,3.4675395,16.339863,4,OK
364,3.4701579,16.342869,4,OK
368,3.4717824,16.296215,4,OK
372,3.3829036,16.316286,4,OK
375,3.7717366,15.294746,5,OK
379,3.7012594,15.291059,-1,OK
382,3.7502055,15.263792,-1,OK
386,3.6922188,15.27591,-1,OK
406,2.437798,15.449663,2,OK
407,2.4196076,15.423015,2,OK
408,2.4121683,15.413001,2,OK
409,6.5334716,-6.688838,-1,OK
410,6.554425,-6.6649113,-1,OK
411,6.525752,-6.7040577,-1,OK
412,6.5064826,-6.7216954,-1,OK
413,6.538137,-6.691056,-1,OK
414,6.548816,-6.680272,-1,OK
415,6.5401664,-6.6881366,-1,OK
416,6.5159197,-6.717105,-1,OK
417,6.5116286,-6.7162647,-1,OK
418,6.5120773,-6.713831,-1,OK
420,-1.4338125,17.393753,0,OK
421,-1.4453554,17.387264,0,OK
422,-1.5014397,17.331415,0,OK
430,4.0806627,16.37192,-1,OK
433,3.436006,16.54096,-1,OK
435,3.4975412,16.53048,-1,OK
438,3.5664508,16.609343,-1,OK
439,3.525079,16.578568,-1,OK
441,4.0014157,16.301916,-1,OK
444,3.9724414,16.016312,-1,OK
447,4.034928,16.031103,-1,OK
449,4.1434,15.494489,5,OK
452,4.139026,15.328788,5,OK
455,4.246414,15.306826,-1,OK
490,-4.701351,-0.4760895,-1,OK
491,2.5322185,15.443394,-1,OK
493,4.241557,16.472313,-1,OK
495,4.521796,16.688238,-1,OK
497,4.5500546,16.680874,-1,OK
499,4.511306,16.692936,-1,OK
501,4.3857713,16.603472,-1,OK
504,4.5358877,16.700884,-1,OK
506,4.535124,16.699938,-1,OK
510,4.5518823,16.710634,-1,OK
513,4.5636387,16.724352,-1,OK
517,-7.478175,13.407735,-1,OK
551,-1.9794017,1.7996459,-1,OK
553,2.4507544,15.44856,2,OK
556,-1.4815199,17.359251,0,OK
562,2.5437114,15.540551,-1,OK
564,4.008519,16.019175,-1,OK
566,-4.59891,0.8147154,-1,OK
569,4.00997,16.075258,-1,OK
571,4.0616775,16.34748,-1,OK
573,3.678781,16.612854,-1,OK
575,3.6710734,16.57105,-1,OK
576,4.0732484,16.07793,-1,OK
578,4.069414,16.323595,-1,OK
579,4.160399,16.49322,-1,OK
581,4.1129313,15.978601,-1,OK
583,4.141355,15.423935,5,OK
585,3.9870026,15.320421,5,OK
587,4.1514406,15.424207,5,OK
589,4.02931,15.355375,5,OK
591,4.1770587,15.414422,5,OK
593,4.0323696,15.339511,5,OK
597,4.2824793,15.233247,-1,OK
598,4.2829094,15.227103,-1,OK
599,4.2334533,15.241439,-1,OK
602,4.24255,15.207863,-1,OK
604,3.9376364,15.406666,5,OK
633,23.192604,-8.684704,6,OK
634,23.21235,-8.629422,6,OK
635,23.177095,-8.456071,6,OK
661,4.2921906,16.493395,-1,OK
662,-7.492568,18.686026,-1,OK
663,6.559549,-6.675981,-1,OK
668,2.5035465,15.433337,2,OK
669,2.5074263,15.47259,2,OK
675,3.5615478,16.333822,-1,OK
677,3.6061966,16.315413,-1,OK
679,3.8492732,16.152523,-1,OK
681,3.5212743,16.286402,4,OK
683,3.481759,16.308823,-1,OK
685,3.5753233,16.335537,-1,OK
687,3.6457949,16.041689,-1,OK
688,-7.4919534,18.645557,-1,OK
692,-7.474373,18.642296,-1,OK
697,4.0614324,16.044815,-1,OK
700,4.0452046,16.264889,-1,OK
703,3.8092036,15.322448,5,OK
705,3.7508159,15.282578,-1,OK
707,4.220649,15.692503,-1,OK
712,4.1702986,16.346655,-1,OK
714,-7.344634,13.308548,-1,OK
718,-7.156308,13.133564,-1,OK
772,-13.214623,-4.0198264,-1,OK
773,6.5409102,-6.71906,-1,OK
774,6.5278406,-6.698411,-1,OK
775,-7.482211,18.68607,-1,OK
778,-1.4532299,17.312452,-1,OK
782,-1.5123286,17.380037,0,OK
783,3.550444,16.59958,-1,OK
788,4.270943,16.562588,-1,OK
791,4.175424,16.516176,-1,OK
792,-7.584812,18.927683,-1,OK
793,-7.5828404,18.924261,-1,OK
794,-7.6000514,18.912664,-1,OK
795,-4.461541,0.6077022,-1,OK
797,-4.4848504,0.5708488,-1,OK
798,-7.595403,18.915241,-1,OK
799,-7.5923953,18.902885,-1,OK
800,-1.5650102,0.70714617,8,OK
802,3.9066489,15.965273,-1,OK
803,-1.9044487,1.8321965,-1,OK
805,4.124785,15.382048,5,OK
808,4.0877337,15.912745,-1,OK
811,4.1679883,15.789462,-1,OK
813,4.275957,15.23047,-1,OK
815,4.1031766,15.281451,5,OK
817,4.0929737,15.403428,5,OK
820,4.276992,15.298501,-1,OK
821,4.108145,16.150412,-1,OK
881,-13.372251,-3.8893056,-1,OK
882,-1.0204263,2.3148909,-1,OK
883,-1.053881,2.230872,-1,OK
884,-13.3565445,-4.003272,-1,OK
886,-1.1012089,2.1431406,-1,OK
888,-1.1393623,2.120588,-1,OK
890,-1.1259873,2.134524,-1,OK
891,-1.109242,2.1370962,-1,OK
892,7.13254,-7.7927537,-1,OK
893,7.162385,-7.8291636,-1,OK
894,7.1632867,-7.829425,-1,OK
895,7.1237545,-7.787653,-1,OK
896,-1.2486256,1.1428407,-1,OK
914,-3.3634226,1.4832269,-1,OK
918,-3.0380442,2.6375697,-1,OK
920,-7.37178,18.542953,-1,OK
921,-7.398958,18.55679,-1,OK
922,-2.7026117,2.4491773,-1,OK
923,-4.442965,0.7451045,-1,OK
925,-2.9647288,2.6962805,-1,OK
927,-1.4315073,2.4445949,-1,OK
933,-1.0746849,2.2875953,-1,OK
937,2.34249,-0.11009228,-1,OK
939,-1.5402166,2.5866623,-1,OK
941,-1.5550021,2.634854,-1,OK
943,-1.6242298,2.523831,-1,OK
944,-4.215573,1.6355255,-1,OK
946,-4.2012057,1.6040559,-1,OK
980,-2.1155858,1.7852945,-1,OK
982,-7.516298,18.715006,-1,OK
984,-4.477764,1.0027473,10,OK
987,-4.3081336,0.66981816,-1,OK
990,-4.3509665,0.85413474,-1,OK
992,-4.43888,0.80115896,11,OK
997,-4.0421844,2.3974223,-1,OK
999,-4.2660623,1.0542126,-1,OK
1002,-4.2234993,1.7305431,-1,OK
1084,-1.9962356,1.7144673,-1,OK
1085,-4.6566296,-0.42970166,-1,OK
1086,-4.181572,0.7928454,-1,OK
1087,-4.641982,-0.41228592,-1,OK
1088,-4.6821103,-0.45397916,-1,OK
1089,-4.63027,-0.39985994,-1,OK
1097,-12.898247,-5.4899426,-1,OK
1098,-12.89579,-5.491767,-1,OK
1099,1.325246,0.31915691,-1,OK
1100,-4.407798,-0.19868398,-1,OK
1102,-13.180126,-4.1771774,-1,OK
1103,-4.5644026,-0.34560746,-1,OK
1104,1.3640087,0.3061658,-1,OK
1107,-12.897814,-5.4931087,-1,OK
1117,-13.157739,-4.246852,-1,OK
1120,-3.8806334,0.8528834,10,OK
1122,1.3310502,0.32142916,-1,OK
1123,1.356292,0.3108301,-1,OK
1124,1.4000715,0.28076345,-1,OK
1130,-1.6312611,0.5948953,8,OK
1132,-1.6298451,0.6176344,8,OK
1150,-13.125746,-4.175557,-1,OK
1152,-4.5323977,-0.3130299,-1,OK
1154,-4.572245,-0.34851667,-1,OK
1156,-4.5369215,-0.3228905,-1,OK
1158,-4.4163156,-0.21540394,-1,OK
1160,-3.0336473,-5.0420046,-1,OK
1163,-4.3746524,-0.19245507,-1,OK
1165,-4.4041743,-0.21045008,-1,OK
1166,-4.36655,-0.20173265,-1,OK
1168,-3.0854893,2.6364915,-1,OK
1170,-2.5710654,2.7171137,15,OK
1176,-4.558276,1.3529104,-1,OK
1177,-7.487926,13.444707,-1,OK
1178,-6.619453,12.610952,7,OK
1180,-1.8300023,1.1434565,8,OK
1194,-4.5037637,0.9789174,11,OK
1195,-4.1765904,0.12925625,-1,OK
1196,-4.501626,-0.30229035,-1,OK
1198,-2.9564981,-4.999165,9,OK
1200,-4.0485573,0.33429363,10,OK
1202,-2.8260984,-4.874569,9,OK
1204,-4.4801583,1.4801241,10,OK
1206,-2.6092978,-4.75794,9,OK
1208,-4.481465,0.9777425,11,OK
1210,-4.4001374,0.8632107,11,OK
1211,-11.481667,2.2443433,12,OK
1213,0.7557885,1.7291505,13,OK
1215,-10.981187,2.6656137,12,OK
1217,0.73551315,1.7364908,13,OK
1219,-6.8761263,12.864603,7,OK
1221,0.6808068,1.5708137,13,OK
1223,-7.244921,13.220476,7,OK
1225,0.65692586,1.2301607,13,OK
1238,-3.9497113,1.0232989,10,OK
1240,-3.6636324,1.169082,-1,OK
1242,-3.669208,1.1879014,-1,OK
1243,-3.5183902,-4.9127755,-1,OK
1245,-3.5083306,-4.9201307,-1,OK
1246,-3.5080988,-4.9047127,-1,OK
1247,-3.5631726,-4.879384,-1,OK
1248,-11.440738,2.273748,12,OK
1250,0.65475696,1.2213322,13,OK
1251,-2.6089544,-4.757668,9,OK
1252,-2.5999117,-4.7607307,9,OK
1254,-4.007168,0.63553756,10,OK
1255,-3.9969866,0.61851877,10,OK
1256,-4.078247,0.5547553,10,OK
1258,-6.6723104,12.6636715,7,OK
1260,-1.8244263,1.1414375,8,OK
1262,-11.052928,2.5971634,12,OK
1264,0.69434136,1.6547948,13,OK
1266,-11.396873,2.315147,12,OK
1268,-1.9329067,-0.044886295,14,OK
1292,-4.0596538,0.26771578,10,OK
1294,-2.8958821,-4.947006,9,OK
1298,-4.024975,0.33939913,10,OK
1300,-2.9842582,-5.020625,9,OK
1302,-7.48883,13.447289,7,OK
1304,-1.8393738,1.118096,8,OK
1306,-7.277823,13.250795,7,OK
1308,0.68471414,1.6633871,13,OK
1310,-11.390126,2.3220718,12,OK
1312,-1.8972578,0.002607119,14,OK
1314,-11.471461,2.2263885,12,OK
1316,0.45536646,1.0052325,13,OK
1329,-4.064759,0.84081864,10,OK
1330,-4.3913665,-0.19135034,-1,OK
1332,-2.9983308,-5.0161457,9,OK
1334,-3.9337308,0.83006805,10,OK
1336,-3.5917468,1.2866068,-1,OK
1338,-3.2261856,2.1289384,-1,OK
1340,-3.5087757,1.4277884,-1,OK
1342,0.36232698,0.93722254,13,OK
1343,0.6682103,1.198193,13,OK
1345,-11.428521,2.288081,12,OK
1347,0.66226375,1.2529801,13,OK
1349,-11.462319,2.245581,12,OK
1351,-1.6939878,0.959573,8,OK
1353,-7.34615,13.317267,7,OK
1355,0.32956702,0.8571459,13,OK
1357,-7.4455857,13.405067,7,OK
1359,-7.4823914,13.472008,-1,OK
1397,-0.9632613,2.4528823,-1,OK
1398,-0.9453399,2.4778166,-1,OK
1399,-1.1279761,2.117153,-1,OK
1401,-3.259301,2.1368353,-1,OK
1403,-3.2514062,2.1202261,-1,OK
1405,-3.6006951,1.3366004,-1,OK
1407,-3.716762,1.0527691,-1,OK
1409,-3.882927,-1.070832,-1,OK
1411,-3.9931405,0.5338779,10,OK
1413,-2.8146737,-4.8998475,-1,OK
1415,-4.139303,0.15040332,-1,OK
1417,-2.7724154,-4.8841915,-1,OK
1419,0.40062574,0.96176535,13,OK
1421,-11.104276,2.553427,12,OK
1422,-11.064279,2.5860343,12,OK
1424,-1.9289345,-0.059642084,14,OK
1426,-11.486708,2.2257118,12,OK
1428,-1.7424178,1.0340965,8,OK
1430,-7.2856603,13.257989,7,OK
1432,0.35779792,0.9293697,13,OK
1434,0.34636483,0.89066017,13,OK
1458,-13.188399,-4.2883015,-1,OK
1459,-4.020918,0.6728349,10,OK
1461,-2.826991,-4.8959913,9,OK
1463,-4.204583,0.5138662,11,OK
1465,-2.8181467,-4.8849087,9,OK
1467,-2.3695643,2.5214024,15,OK
1468,-6.6023984,12.594072,7,OK
1470,-1.8529749,1.1757737,8,OK
1472,-2.32959,2.4967504,15,OK
1474,-2.61586,2.8405728,15,OK
1481,-6.9530716,12.939165,7,OK
1483,0.6703364,1.3043199,13,OK
1495,-3.6938384,2.5584266,-1,OK
1496,-3.7207882,2.597018,-1,OK
1498,-3.4630365,1.4555066,-1,OK
1500,-3.2007754,2.0908787,-1,OK
1501,-4.0691004,1.161582,10,OK
1503,-4.0332966,0.4655812,10,OK
1505,-2.9187024,-4.958913,9,OK
1509,0.45352954,0.98477685,13,OK
1511,-11.482521,2.2331533,12,OK
1513,-1.933179,-0.047818556,14,OK
1525,-4.35342,0.7386482,11,OK
1527,-3.0361962,-5.0658116,9,OK
1529,-4.231903,0.0022964594,10,OK
1531,-2.9829993,-5.0050035,9,OK
1532,-3.0218248,-5.038242,9,OK
1533,-3.0238001,-5.03866,9,OK
1534,-11.447367,2.2229648,-1,OK
1536,-1.8039405,0.43139315,-1,OK
1538,-7.521738,13.470735,-1,OK
1540,0.66902506,1.6438007,13,OK
1542,-7.247236,13.222019,7,OK
1544,-1.7966883,1.1397523,8,OK
1546,-7.3365145,13.3056755,7,OK
1548,-1.612759,0.7495298,8,OK
1550,-7.4188824,13.3849535,7,OK
1552,0.3009626,0.8904857,13,OK
1554,-4.648422,-0.43102264,-1,OK
1556,0.2964301,0.92633086,13,OK
1569,-4.558156,-0.31734997,-1,OK
1571,-11.335041,2.3379114,-1,OK
1574,-4.2175145,0.054811742,10,OK
1576,-4.4313884,0.37118804,-1,OK
1578,-3.911145,0.7037522,10,OK
1580,-1.0576832,1.7095546,-1,OK
1582,-4.268286,1.3899332,10,OK
1584,-4.3146477,-0.1544884,-1,OK
1586,-3.8717391,0.9448157,-1,OK
1588,-1.5918789,0.71115506,8,OK
1589,-1.871555,1.1191677,8,OK
1591,-1.6561604,0.8883896,8,OK
1593,-1.7177815,1.0865782,8,OK
1594,-1.7644247,1.1365013,8,OK
1596,-2.3223283,2.599251,15,OK
1598,-2.0603433,2.485405,-1,OK
1600,-1.5587976,2.6061962,-1,OK
1602,-2.4232728,2.5366595,15,OK
1604,-1.8441674,1.213724,8,OK
1606,-1.8229297,1.9812509,-1,OK
1608,-2.3246825,2.4955015,15,OK
1610,-1.7592252,1.1647171,8,OK
1612,-2.0506802,2.5782723,15,OK
1614,-2.0740457,2.4392593,15,OK
1616,-1.8398336,1.1252571,8,OK
1618,-1.2827418,3.066236,-1,OK
1619,-3.5061328,2.3944676,-1,OK
1621,-2.0023181,2.1247206,-1,OK
1623,-1.8674042,1.156953,8,OK
1683,0.49425521,1.0400076,13,OK
1685,-6.901475,12.8893385,7,OK
1687,0.7177057,1.7096342,13,OK
1689,-6.721013,12.712095,7,OK
1690,-6.730038,12.72089,7,OK
1692,-1.9547865,-0.08315794,14,OK
1694,-11.01591,2.631912,12,OK
1695,0.7496134,1.7373935,13,OK
1697,-11.026039,2.6217644,12,OK
1699,0.7476374,1.7395692,13,OK
1700,-6.8678083,12.855861,7,OK
1702,-7.004767,12.989754,7,OK
1715,-1.4646782,17.314045,-1,OK
1717,-3.2512133,2.0899768,-1,OK
1719,-3.466078,1.4646574,-1,OK
1721,-4.441803,1.4698294,10,OK
1723,-2.5837092,-4.7138515,9,OK
1725,-4.115369,0.9235162,10,OK
1727,-2.6073394,-4.7618756,9,OK
1729,-4.4661107,1.4652702,10,OK
1730,-4.025873,0.7789051,10,OK
1731,-4.081159,0.7584227,10,OK
1732,0.39953727,0.954742,13,OK
1734,-6.791527,12.781363,7,OK
1736,0.7360148,1.4697036,13,OK
1738,-7.00923,12.993977,7,OK
1740,-1.9151927,-0.0069266777,14,OK
1742,-11.507262,2.2225103,12,OK
1744,0.59086835,1.1277176,13,OK
1746,-11.502101,2.2539077,12,OK
1774,-1.3638994,2.0230699,-1,OK
1775,-1.3266965,2.0323048,-1,OK
1776,0.0863835,4.376113,-1,OK
1778,-3.4698262,1.4405066,-1,OK
1780,-3.2021344,2.0966542,-1,OK
1781,-3.6101522,1.2648162,-1,OK
1783,-1.4948194,1.5992352,-1,OK
1785,-11.088808,2.5630841,12,OK
1787,-1.8359853,0.23273787,14,OK
1789,-11.408119,2.303463,12,OK
1791,0.62882996,1.1657263,13,OK
1793,1.8830992,7.519047,-1,OK
1795,-1.9654723,-0.108810626,14,OK
1797,-4.477299,1.4885963,10,OK
1801,-6.7671566,12.7574,7,OK
1803,-4.5011916,1.4380686,10,OK
1805,-2.5511928,-4.753241,9,OK
1807,-6.721201,12.711963,7,OK
1808,-6.617325,12.608826,7,OK
1809,-6.6179657,12.60946,7,OK
1831,-3.5963974,-4.921144,-1,OK
1833,-3.589035,-4.8907814,-1,OK
1835,-3.5507555,-4.8619175,-1,OK
1837,-4.586388,1.267073,-1,OK
1840,-2.5781226,-4.76813,9,OK
1842,-4.4824457,1.4476956,10,OK
1844,-2.576625,-4.7755604,9,OK
1846,-4.540376,1.3375158,-1,OK
1849,0.74780065,1.7417836,13,OK
1852,-6.6180696,12.609398,7,OK
1854,0.76654154,1.7311813,13,OK
1857,-11.017604,2.6283143,12,OK
1859,-1.926242,-0.06470356,14,OK
1861,-11.050731,2.598672,12,OK
1863,0.7409028,1.6887866,13,OK
1881,-1.533867,2.6235585,-1,OK
1894,-11.16015,2.494277,-1,OK
1896,-11.343816,2.3386977,-1,OK
1898,-11.09685,2.5482702,-1,OK
1903,-11.105105,2.543415,-1,OK
1905,-4.4552245,-0.08759101,-1,OK
1907,-3.3220084,-4.969551,-1,OK
1908,-3.3617942,-4.9636774,-1,OK
1910,-2.0075402,-0.14332947,-1,OK
1912,-1.0214727,2.661355,-1,OK
