,SEQ.DIL.WL0,SEQ.IMG.DIT,SEQ.IMG.NDIT
13,3.5,0.1110557,100.0
14,3.5,0.02,100.0
15,3.5,0.005,100.0
16,3.5,0.0751997,100.0
51,3.5,0.02,100.0
52,3.5,0.0751997,100.0
53,3.5,0.0751997,100.0
54,3.5,0.0751997,100.0
181,3.5,0.1110557,100.0
182,3.5,0.02,100.0
183,3.5,0.111,100.0
184,3.5,0.0751997,100.0
185,3.5,0.0751997,100.0
204,3.5,0.1110557,100.0
205,3.5,0.02,100.0
206,3.5,0.0751997,100.0
207,3.5,0.0751997,100.0
208,3.5,0.0751997,100.0
217,4.6,0.075,500.0
218,4.75,0.0751997,500.0
219,4.9,0.0751997,500.0
235,3.5,0.1110557,100.0
236,3.5,0.02,100.0
237,3.5,0.0751997,100.0
264,4.75,0.15,100.0
265,4.75,0.015,100.0
275,4.75,0.06,100.0
276,4.66,0.12,100.0
277,3.9,0.02,100.0
338,4.75,0.06,100.0
339,3.5,0.02,100.0
340,3.9,0.111,100.0
341,3.5,0.0751997,100.0
342,4.66,0.12,100.0
395,4.75,0.06,100.0
396,3.5,0.02,100.0
397,3.9,0.111,100.0
398,3.5,0.0751997,100.0
463,3.9,0.111,100.0
464,3.5,0.02,100.0
465,3.9,0.25,100.0
466,3.5,0.0751997,100.0
467,4.66,0.12,100.0
468,4.75,0.06,100.0
469,3.3,0.1110557,100.0
476,3.5,1.0,500.0
477,3.5,1.0,100.0
478,3.5,1.0,100.0
480,3.5,5.0,100.0
515,3.98,5.0,100.0
529,3.9,0.111,100.0
530,3.5,0.02,100.0
531,4.66,0.12,100.0
532,4.75,0.06,100.0
533,3.5,0.02,100.0
535,4.05,10.0,100.0
543,3.4,0.03,1000.0
544,3.4,0.2,500.0
613,3.9,0.111,100.0
614,3.5,0.02,100.0
615,3.5,0.075,100.0
616,3.5,0.075,100.0
617,3.5,0.075,100.0
618,4.66,0.12,100.0
726,3.9,0.111,100.0
727,3.5,0.02,100.0
728,4.05,0.1110557,100.0
729,4.05,0.1110557,100.0
730,3.5,0.111,100.0
731,4.66,0.12,100.0
732,3.5,0.0112365,100.0
759,3.5,0.04,500.0
829,3.9,0.111,100.0
830,3.5,0.02,100.0
831,3.5,0.0751997,100.0
832,3.3,0.1110557,100.0
833,3.3,1.2,100.0
834,4.05,0.1110557,100.0
835,4.05,0.1110557,100.0
836,3.5,0.075,100.0
873,3.4,0.075,500.0
874,3.4,0.02,1000.0
904,3.5,0.02,100.0
905,3.5,0.0751997,100.0
906,3.5,0.0751997,100.0
954,3.9,0.111,100.0
955,3.5,0.02,100.0
956,4.05,0.25,100.0
957,4.05,0.1110557,100.0
958,3.1,0.25,100.0
959,4.0,6.0,100.0
960,3.8,0.5001597,100.0
961,4.0,6.0,100.0
962,3.5,0.0751997,100.0
968,4.05,0.0751997,300.0
1011,3.9,0.111,100.0
1012,3.5,0.02,100.0
1013,3.3,0.1110557,100.0
1014,3.5,0.075,100.0
1015,4.0,1.2,100.0
1016,4.0,0.111,100.0
1017,3.9,1.2,100.0
1018,4.05,0.1110557,100.0
1114,3.5,0.02,100.0
1115,3.5,0.5,100.0
1141,3.5,0.111,100.0
1142,3.5,0.02,100.0
1143,3.5,10.0,100.0
1144,3.5,0.5,100.0
1145,3.5,5.0,100.0
1146,3.5,20.0,100.0
1147,3.5,1.0,100.0
1148,3.5,0.075,100.0
1188,3.5,0.0751997,100.0
1189,3.5,0.02,100.0
1190,4.0,0.1110557,100.0
1233,3.5,0.0751997,100.0
1234,3.5,0.02,100.0
1235,3.95,0.1110557,100.0
1236,4.0,0.1110557,100.0
1287,3.5,0.0751997,100.0
1288,3.5,0.02,100.0
1289,3.95,0.1110557,100.0
1290,4.0,0.1110557,100.0
1324,3.5,0.0751997,100.0
1325,3.5,0.02,100.0
1326,4.0,0.1110557,100.0
1327,3.95,0.1110557,100.0
1367,3.5,0.0751997,100.0
1368,3.5,0.02,100.0
1369,3.95,0.1110557,100.0
1370,4.0,0.1110557,100.0
1442,3.5,0.0751997,100.0
1443,3.5,0.02,100.0
1444,3.95,0.1110557,100.0
1445,3.95,1.381995,100.0
1446,4.0,0.1110557,100.0
1447,4.0,1.381995,100.0
1491,3.5,0.0751997,100.0
1492,3.5,0.02,100.0
1493,4.0,0.1110557,100.0
1521,3.5,0.0751997,100.0
1522,3.5,0.02,100.0
1523,3.95,0.1110557,100.0
1564,3.5,0.0751997,100.0
1565,3.5,0.02,100.0
1566,3.95,0.1110557,100.0
1567,4.0,0.1110557,100.0
1634,4.051,0.0751997,100.0
1635,3.5,0.02,100.0
1636,3.5,0.075,100.0
1637,3.5,0.0751997,100.0
1664,3.4,0.05,100.0
1665,3.4,0.05,100.0
1666,3.4,0.2,100.0
1710,4.0,0.1110557,100.0
1711,3.5,0.02,100.0
1712,3.95,0.1110557,100.0
1754,3.5,0.111,100.0
1755,3.5,0.02,100.0
1756,3.5,0.0751997,100.0
1757,4.0,0.1110557,100.0
1758,3.95,0.1110557,100.0
1817,3.5,0.0751997,100.0
1818,3.5,0.02,100.0
1819,3.95,0.1110557,100.0
1820,4.0,0.1110557,100.0
1870,3.5,0.0751997,100.0
1871,3.5,0.02,100.0
1872,4.0,0.1110557,100.0
1873,3.95,0.1110557,100.0
1889,3.5,0.0751997,100.0
1890,3.5,0.02,100.0
1952,3.9,0.111,100.0
1953,3.5,0.02,100.0
1954,4.051,0.0751997,100.0
1955,3.5,0.0751997,100.0
1956,3.53,0.1110557,100.0
1957,3.5,0.075,100.0
1968,3.5,0.0751997,100.0
1969,3.5,0.02,100.0
1970,4.0,0.1110557,100.0
2023,3.9,0.111,100.0
2024,3.5,0.02,100.0
2025,3.3,0.1110557,100.0
2026,3.53,0.1110557,100.0
2027,3.5,0.075,100.0
2028,3.3,1.381995,100.0
2029,3.5,0.0200088,100.0
2030,4.05,0.1110557,100.0
2096,3.9,0.111,100.0
2097,3.5,0.02,100.0
2098,3.5,0.1110557,100.0
2099,3.5,0.075,100.0
2100,3.9,0.1110557,100.0
2101,3.9,1.381995,100.0
2102,3.5,0.0200088,100.0
2166,3.5,0.1110557,100.0
2167,3.5,0.075,100.0
2168,3.9,0.1110557,100.0
2169,3.9,0.111,100.0
2170,3.5,0.02,100.0
2200,3.5,0.0751997,100.0
2201,3.5,0.02,100.0
2230,3.5,0.0751997,100.0
2231,3.5,0.02,100.0
2326,4.0,0.1110557,100.0
2327,3.5,0.02,100.0
2361,3.5,0.0751997,100.0
2362,3.5,0.02,100.0
2415,3.5,0.0751997,100.0
2416,3.5,0.02,100.0
2417,3.5,0.12,100.0
2514,4.05,0.1110557,100.0
2515,3.5,0.02,100.0
2516,4.05,10.0,100.0
2588,4.05,0.1110557,100.0
2589,3.5,0.02,100.0
2590,3.5,10.0,100.0
2591,3.5,0.0751997,100.0
2638,4.05,0.1110557,100.0
2639,3.5,0.02,100.0
2640,3.5,0.1110557,100.0
2641,3.5,0.0751997,100.0
2642,3.5,0.0751997,100.0
2661,3.03,0.1110557,100.0
2663,3.05,0.1110557,100.0
2664,3.175,0.1110557,100.0
2665,3.3,0.1110557,100.0
2666,3.525,0.1110557,100.0
2667,3.17,0.1110557,100.0
2669,3.52,0.1110557,100.0
2671,3.77,0.1110557,100.0
2672,3.82,0.1110557,100.0
2673,3.97,0.1110557,100.0
2674,4.62,0.1110557,100.0
2675,3.03,0.1110557,100.0
2677,3.05,0.1110557,100.0
2679,3.17,0.1110557,100.0
2680,3.3,0.1110557,100.0
2681,3.52,0.1110557,100.0
2682,3.75,0.1110557,100.0
2683,3.97,0.1110557,100.0
2684,3.77,0.1110557,100.0
2686,3.82,0.1110557,100.0
2688,4.62,0.1110557,100.0
2689,4.65,0.1110557,100.0
2690,4.67,0.1110557,100.0
2691,4.78,0.1110557,100.0
2721,3.5,0.0751997,100.0
2722,3.5,0.02,100.0
2723,3.03,0.0751997,100.0
2724,3.5,0.0751997,100.0
2735,4.0,0.111,100.0
2736,4.0,0.111,100.0
2799,4.0,0.1110557,100.0
2800,3.5,0.02,100.0
2844,3.5,0.0751997,100.0
2845,3.5,0.02,100.0
2846,3.95,0.1110557,100.0
2937,3.5,0.0751997,100.0
2938,3.5,0.02,100.0
2939,3.5,0.0112365,100.0
2940,3.5,1.0,100.0
3014,3.5,0.02,100.0
3080,4.0,0.1110557,100.0
3081,3.5,0.02,100.0
3116,3.5,0.0751997,100.0
3117,3.5,0.02,100.0
3187,3.5,0.0751997,100.0
3188,3.5,0.02,100.0
3189,3.5,0.111,100.0
3271,3.5,0.0751997,100.0
3272,3.5,0.02,100.0
3273,3.5,0.111,100.0
3292,3.5,0.0751997,100.0
3293,3.5,0.02,100.0
3312,3.5,0.0751997,100.0
3313,3.5,0.02,100.0
3367,3.9,0.111,100.0
3368,3.5,0.02,100.0
3514,3.5,0.0751997,100.0
3515,3.5,0.02,100.0
3516,3.53,0.1110557,100.0
3517,3.5,0.111,100.0
3525,3.53,0.1110557,100.0
3566,3.5,0.0751997,100.0
3567,3.5,0.02,100.0
3568,3.5,0.111,100.0
3628,3.5,0.0751997,100.0
3629,3.5,0.02,100.0
3630,4.05,0.1110557,100.0
3631,4.05,1.000152,100.0
3632,4.05,10.0,100.0
3700,3.5,0.0751997,100.0
3701,3.5,0.02,100.0
3702,4.05,0.1110557,100.0
3703,4.05,1.000152,100.0
3704,4.05,10.0,100.0
3765,3.5,0.0751997,100.0
3766,3.5,0.02,100.0
3767,3.5,0.075,100.0
3818,3.5,0.0751997,100.0
3819,3.5,0.02,100.0
3820,3.53,0.1110557,100.0
3850,3.5,0.0751997,100.0
3857,3.5,0.0751997,100.0
3858,3.5,0.02,100.0
3869,3.5,0.0751997,100.0
3870,3.5,0.02,100.0
3899,3.5,0.0751997,100.0
3900,3.5,0.02,100.0
3980,3.5,0.03,100.0
3981,3.5,0.03,100.0
3982,3.5,0.02,100.0
3983,3.5,0.0751997,100.0
4083,3.5,0.0751997,100.0
4084,3.5,0.02,100.0
4085,3.5,0.0751997,100.0
4086,4.05,0.1110557,100.0
4087,4.05,1.000152,100.0
4088,4.05,10.0,100.0
4089,3.95,0.1110557,100.0
4190,3.5,0.0751997,100.0
4191,3.5,0.02,100.0
4192,3.925,0.0751997,100.0
4193,3.95,0.1110557,100.0
4218,3.5,1.0,30.0
4219,3.5,5.0,10.0
4220,3.5,10.0,10.0
4221,3.4,0.03,1000.0
4222,3.4,0.2,200.0
4228,3.5,0.078,500.0
4229,3.5,0.2,200.0
4230,3.5,0.5,100.0
4234,3.5,0.011,500.0
4235,3.4,0.02,1000.0
4237,3.95,0.1110557,100.0
4238,3.5,0.02,100.0
4240,3.5,1.0,32.0
4241,3.5,5.0,32.0
4242,3.5,10.0,32.0
4243,3.5,1.0,100.0
4244,3.5,1.0,100.0
4245,3.5,5.0,100.0
4246,3.5,10.0,100.0
4247,3.4,0.03,1000.0
4248,3.4,0.2,200.0
4277,3.5,0.011,500.0
4278,3.4,0.02,1000.0
4280,3.925,0.0751997,100.0
4281,3.5,0.02,100.0
4284,3.4,0.02,200.0
4299,3.5,0.011,500.0
4300,3.4,0.02,1000.0
4302,3.925,0.0751997,100.0
4303,3.5,0.02,100.0
4319,3.5,0.011,500.0
4320,3.4,0.02,1000.0
4337,3.5,0.011,500.0
4338,3.4,0.02,1000.0
4340,3.95,0.1110557,100.0
4341,3.5,0.02,100.0
4349,3.5,0.011,500.0
4350,3.4,0.02,1000.0
4359,3.5,0.011,500.0
4360,3.4,0.02,1000.0
4369,3.5,0.011,500.0
4370,3.4,0.02,1000.0
4379,3.5,0.011,500.0
4380,3.4,0.02,1000.0
4390,3.5,0.011,500.0
4391,3.4,0.02,1000.0
4400,3.5,0.011,500.0
4401,3.4,0.02,1000.0
4404,3.4,0.02,1000.0
4405,3.4,0.075,1000.0
4432,3.5,0.011,500.0
4433,3.4,0.02,1000.0
4435,3.5,0.0751997,100.0
4436,3.5,0.02,100.0
4438,3.4,0.02,1000.0
4439,3.4,0.075,1000.0
4486,3.5,0.011,500.0
4487,3.4,0.02,1000.0
4489,3.5,0.0751997,100.0
4490,3.5,0.02,100.0
4491,3.5,0.0751997,100.0
4505,3.5,0.011,500.0
4506,3.4,0.02,1000.0
4508,3.95,0.1110557,100.0
4509,3.5,0.02,100.0
4520,3.5,1.0,100.0
4521,3.5,5.0,100.0
4522,3.5,10.0,100.0
4523,3.4,0.02,1000.0
4524,3.4,0.075,1000.0
4533,3.5,0.011,500.0
4534,3.4,0.02,1000.0
4536,3.5,0.0751997,100.0
4537,3.5,0.02,100.0
4538,3.95,0.1110557,100.0
4546,3.5,0.011,500.0
4547,3.4,0.02,1000.0
4556,3.5,0.078,500.0
4557,3.5,0.2,200.0
4558,3.5,0.5,100.0
4562,3.5,0.011,500.0
4563,3.4,0.02,1000.0
4592,3.5,0.011,500.0
4593,3.4,0.02,1000.0
4595,3.5,0.0751997,100.0
4596,3.5,0.02,100.0
4597,3.5,0.0751997,100.0
4598,3.95,0.1110557,100.0
4608,3.5,0.011,500.0
4609,3.4,0.02,1000.0
4619,3.5,0.011,500.0
4620,3.4,0.02,1000.0
4638,3.5,0.011,500.0
4639,3.4,0.02,1000.0
4641,3.95,0.1110557,100.0
4642,3.5,0.02,100.0
4666,3.5,0.011,500.0
4667,3.4,0.02,1000.0
4669,3.5,0.0751997,100.0
4670,3.5,0.02,100.0
4671,3.95,0.1110557,100.0
4694,3.5,0.011,500.0
4695,3.4,0.02,1000.0
4697,3.5,0.0751997,100.0
4698,3.5,0.02,100.0
4721,3.5,0.011,500.0
4722,3.4,0.02,1000.0
4724,3.5,0.0751997,100.0
4725,3.5,0.02,100.0
4726,3.95,0.1110557,100.0
4748,3.5,0.011,500.0
4749,3.4,0.02,1000.0
4751,3.5,0.0751997,100.0
4752,3.5,0.02,100.0
4753,3.95,0.1110557,100.0
4781,3.5,0.011,500.0
4782,3.4,0.02,1000.0
4784,3.5,0.0751997,100.0
4785,3.5,0.02,100.0
4786,3.5,0.0751997,100.0
4787,3.95,0.1110557,100.0
4840,3.5,0.011,500.0
4841,3.4,0.02,1000.0
4843,3.5,0.0751997,100.0
4844,3.5,0.02,100.0
4845,3.95,0.1110557,100.0
4858,3.5,0.078,500.0
4859,3.5,0.2,200.0
4860,3.5,0.5,100.0
4864,3.5,0.011,500.0
4865,3.4,0.02,1000.0
4890,3.5,0.011,500.0
4891,3.4,0.02,1000.0
4893,3.5,0.0751997,100.0
4894,3.5,0.02,100.0
4895,3.5,0.0751997,100.0
4904,3.5,0.011,500.0
4905,3.4,0.02,1000.0
4923,3.5,0.011,500.0
4924,3.4,0.02,1000.0
4926,3.5,0.0751997,100.0
4927,3.5,0.02,100.0
4928,3.5,0.0751997,100.0
4937,3.5,0.011,500.0
4938,3.4,0.02,1000.0
4955,3.5,0.011,500.0
4956,3.4,0.02,1000.0
4958,3.5,0.0751997,100.0
4959,3.5,0.02,100.0
4967,3.5,0.078,500.0
4968,3.5,0.2,200.0
4969,3.5,0.5,100.0
4973,3.5,0.011,500.0
4974,3.4,0.02,1000.0
4976,3.5,0.0751997,100.0
4977,3.5,0.02,100.0
4987,3.5,0.011,500.0
4988,3.4,0.02,1000.0
4992,3.4,0.02,1000.0
4993,3.5,0.02,100.0
5078,3.5,0.011,500.0
5079,3.4,0.02,1000.0
5081,3.5,0.011,500.0
5082,3.5,0.011,500.0
5083,3.4,0.02,1000.0
5085,3.5,0.011,500.0
5092,3.5,0.011,500.0
5093,3.4,0.02,1000.0
5117,3.5,0.011,500.0
5118,3.4,0.02,1000.0
5120,3.5,0.0751997,100.0
5121,3.5,0.02,100.0
5135,3.5,0.011,500.0
5136,3.4,0.02,1000.0
5145,3.5,0.011,500.0
5146,3.4,0.02,1000.0
5155,3.5,0.011,500.0
5156,3.4,0.02,1000.0
5172,3.5,0.011,500.0
5173,3.4,0.02,1000.0
5175,3.9,0.111,100.0
5176,3.5,0.02,100.0
5210,3.5,0.011,500.0
5211,3.4,0.02,1000.0
5213,3.5,0.1110557,100.0
5214,3.5,0.075,100.0
5215,3.9,0.111,100.0
5216,3.5,0.02,100.0
5240,3.5,0.011,500.0
5241,3.4,0.02,1000.0
5242,3.5,0.0751997,100.0
5243,3.5,0.075,100.0
5244,3.5,0.0751997,100.0
5245,3.5,0.02,100.0
5253,3.5,0.011,500.0
5254,3.4,0.02,1000.0
5263,3.5,0.011,500.0
5264,3.4,0.02,1000.0
5281,3.5,0.011,500.0
5282,3.4,0.02,1000.0
5284,3.5,0.0751997,100.0
5285,3.5,0.02,100.0
5286,3.5,0.0751997,100.0
5307,3.5,0.011,500.0
5308,3.4,0.02,1000.0
5310,3.5,0.0751997,100.0
5311,3.5,0.02,100.0
5312,3.95,0.1110557,100.0
5320,3.5,0.011,500.0
5321,3.4,0.02,1000.0
5330,3.5,0.011,500.0
5331,3.4,0.02,1000.0
5369,3.5,0.011,500.0
5370,3.4,0.02,1000.0
5372,3.9,0.0751997,100.0
5373,3.5,0.02,100.0
5374,4.05,0.0751997,100.0
5375,4.05,0.1110557,100.0
5418,3.5,0.011,500.0
5419,3.4,0.02,1000.0
5421,3.9,0.111,100.0
5422,3.5,0.02,100.0
5423,3.5,0.111,100.0
5424,3.5,0.0751997,100.0
5462,3.5,0.011,500.0
5463,3.4,0.02,1000.0
5465,3.5,0.0751997,100.0
5466,3.5,0.02,100.0
5467,4.05,0.1110557,100.0
5482,3.5,0.011,500.0
5483,3.4,0.02,1000.0
5485,3.5,0.0751997,100.0
5487,3.5,0.02,100.0
5488,3.95,0.1110557,100.0
5503,3.5,0.011,500.0
5504,3.4,0.02,1000.0
5506,3.5,0.0751997,100.0
5507,3.5,0.02,100.0
5508,3.95,0.1110557,100.0
5557,3.5,0.011,500.0
5558,3.4,0.02,1000.0
5560,3.1,0.1110557,100.0
5561,3.5,0.02,100.0
5562,3.25,0.1110557,100.0
5563,3.9,0.111,100.0
5564,3.925,0.0751997,100.0
5580,3.5,0.011,500.0
5581,3.4,0.02,1000.0
5583,3.5,0.0751997,100.0
5584,3.5,0.02,100.0
5604,3.5,0.011,500.0
5605,3.4,0.02,1000.0
5607,3.925,0.0751997,100.0
5608,3.5,0.02,100.0
5655,3.5,0.011,500.0
5656,3.4,0.02,1000.0
5658,3.925,0.0751997,100.0
5659,3.5,0.02,100.0
5696,3.5,0.011,500.0
5697,3.4,0.02,1000.0
5699,3.5,0.0751997,100.0
5700,3.5,0.02,100.0
5701,3.9,0.111,100.0
5702,3.1,0.1110557,100.0
5733,3.5,0.011,500.0
5735,3.4,0.02,1000.0
5737,3.9,0.111,100.0
5739,3.5,0.02,100.0
5740,3.25,0.1110557,100.0
5741,3.1,0.1110557,100.0
5743,3.4,0.02,1000.0
5747,3.4,0.02,1000.0
5756,3.5,0.011,500.0
5757,3.4,0.02,1000.0
5766,3.5,0.011,500.0
5767,3.4,0.02,1000.0
5782,3.5,0.011,500.0
5783,3.4,0.02,1000.0
5785,3.5,0.0751997,100.0
5786,3.5,0.02,100.0
5795,3.5,0.078,500.0
5796,3.5,0.2,200.0
5797,3.5,0.5,100.0
5801,3.5,0.011,500.0
5802,3.4,0.02,1000.0
5811,3.5,0.011,500.0
5812,3.4,0.02,1000.0
5821,3.5,0.011,500.0
5822,3.4,0.02,1000.0
5825,3.5,1.0,100.0
5827,3.5,1.0,100.0
5828,3.4,0.02,1000.0
5829,3.4,0.075,1000.0
5837,3.5,0.011,500.0
5838,3.4,0.02,1000.0
5847,3.5,0.011,500.0
5848,3.4,0.02,1000.0
5857,3.5,0.011,500.0
5858,3.4,0.02,1000.0
5896,3.5,0.011,500.0
5897,3.4,0.02,1000.0
5950,3.5,0.011,500.0
5951,3.4,0.02,1000.0
5953,3.5,0.0751997,100.0
5954,3.5,0.02,100.0
5955,3.9,0.111,100.0
5956,3.9,0.05,100.0
5957,3.5,0.05,100.0
5958,3.5,0.11,100.0
5995,3.5,0.011,500.0
5996,3.4,0.02,1000.0
5998,3.9,0.0751997,100.0
6000,3.5,0.02,100.0
6001,3.3,0.1110557,100.0
6002,3.9,0.111,100.0
6024,3.98,0.25,100.0
6025,3.98,0.13,200.0
6026,3.98,0.08,200.0
6074,3.5,0.011,500.0
6075,3.4,0.02,1000.0
6077,3.5,0.02,100.0
6078,3.5,0.02,100.0
6079,3.9,10.0,100.0
6080,4.05,0.1110557,100.0
6081,3.9,0.111,100.0
6082,4.05,0.1110557,100.0
6083,3.9,1.3,100.0
6084,3.9,10.0,100.0
6085,3.9,1.3,100.0
6146,3.5,0.011,500.0
6147,3.4,0.02,1000.0
6149,3.5,0.02,100.0
6150,3.5,0.02,100.0
6151,3.9,0.111,100.0
6152,4.05,0.1110557,100.0
6153,3.9,1.3,100.0
6154,3.9,10.0,100.0
6209,3.5,0.011,500.0
6210,3.4,0.02,1000.0
6240,3.5,0.011,500.0
6241,3.4,0.02,1000.0
6243,3.9,0.111,100.0
6244,3.5,0.02,100.0
6245,4.05,0.1110557,100.0
6246,3.9,1.3,100.0
6247,3.9,10.0,100.0
6301,3.5,0.078,500.0
6302,3.5,0.2,200.0
6303,3.5,0.5,100.0
6307,3.5,0.011,500.0
6308,3.4,0.02,1000.0
6310,3.5,0.02,100.0
6311,3.5,0.02,100.0
6312,3.9,0.111,100.0
6313,4.05,0.1110557,100.0
6314,3.9,1.3,100.0
6402,3.5,0.011,500.0
6403,3.4,0.02,1000.0
6405,3.5,0.0751997,100.0
6406,3.5,0.02,100.0
6407,3.5,0.0751997,100.0
6408,4.05,0.1110557,100.0
6409,3.9,1.3,100.0
6410,3.9,0.111,100.0
6411,3.5,0.02,100.0
6412,3.9,10.0,100.0
6413,3.9,0.1110557,100.0
6484,3.5,0.078,500.0
6485,3.5,0.2,200.0
6486,3.5,0.5,100.0
6490,3.5,0.011,500.0
6491,3.4,0.02,1000.0
6493,3.9,0.111,100.0
6494,3.5,0.02,100.0
6495,4.05,0.1110557,100.0
6496,3.9,1.3,100.0
6497,3.5,0.02,100.0
6498,3.9,10.0,100.0
6564,3.5,0.011,500.0
6565,3.4,0.02,1000.0
6567,3.5,0.0751997,100.0
6568,3.5,0.02,100.0
6644,3.5,0.011,500.0
6645,3.4,0.02,1000.0
6647,3.5,0.0751997,100.0
6648,3.5,0.02,100.0
6649,3.5,0.0751997,100.0
6650,3.9,0.111,100.0
